user_id,major,year
S001,Ngoại ngữ,3
S002,Kinh tế,1
S003,Luật,1
S004,Công nghệ Thông tin,4
S005,Kinh tế,1
S006,Khoa học Tự nhiên,2
S007,Kinh tế,4
S008,Luật,4
S009,Kinh tế,3
S010,Ngoại ngữ,3
S011,Sư phạm Ngữ văn,3
S012,Sư phạm Ngữ văn,3
S013,Sư phạm Ngữ văn,1
S014,Luật,1
S015,Công nghệ Thông tin,1
S016,Ngoại ngữ,2
S017,Công nghệ Thông tin,3
S018,Sư phạm Ngữ văn,4
S019,Công nghệ Thông tin,3
S020,Khoa học Tự nhiên,4
S021,Ngoại ngữ,2
S022,Sư phạm Toán,3
S023,Khoa học Tự nhiên,3
S024,Ngoại ngữ,4
S025,Kinh tế,2
S026,Luật,3
S027,Công nghệ Thông tin,1
S028,Ngoại ngữ,3
S029,Khoa học Tự nhiên,3
S030,Khoa học Tự nhiên,2
S031,Sư phạm Toán,1
S032,Công nghệ Thông tin,1
S033,Ngoại ngữ,1
S034,Kinh tế,3
S035,Luật,2
S036,Kinh tế,3
S037,Ngoại ngữ,4
S038,Công nghệ Thông tin,1
S039,Khoa học Tự nhiên,4
S040,Kinh tế,3
S041,Sư phạm Toán,4
S042,Sư phạm Ngữ văn,3
S043,Sư phạm Toán,2
S044,Khoa học Tự nhiên,3
S045,Sư phạm Ngữ văn,2
S046,Khoa học Tự nhiên,4
S047,Sư phạm Toán,3
S048,Kinh tế,2
S049,Sư phạm Toán,4
S050,Ngoại ngữ,1
